Пила сабельная сетевая MAKITA JR 3051 TK [JR3051TK];15 736;185840
Монтажная подставка Krause STABILO 3 ступени 805034 [805034];17 020;65979
Сучкорез TRUPER T-122E By-pass деревянные ручи 53см [18381];2 536;147993
Лестница выдвижная двухсекционная Krause CORDA 2х11 [012111];11 030;135532
Лестница выдвижная трехсекционная АЛЮМЕТ 3315 3х15 с тросом [3315];51 462;95485
Тепловая пушка электрическая DEKO DKIH3300 [082-1009];2 475;235456
Шкаф для одежды Пакс ШРМ-22-М-800 [Т00000097];12 454;156343
Источник бесперебойного питания SKAT - UPS 600/350 [449];15 310;121446
Монтажная подставка Krause STABILO 2 ступени 805027 [805027];11 300;65978
Удлинитель IEK 3х3м с заземл. пвс 3х1 с выкл. [WYP10-16-03-03-ZK-N];572;230664
Полотно Biber 85616 вольфрамовое 300мм [тов-080733];370;222631
Двусторонняя клейкая лента 3M GT6008F акриловая, 20 мм х 2 м [4607166909879];490;143362
